,test_acc,test_f1
EI_over10,0.7122550902804456,0.7071122675697632
NS_over10,0.8294275835574337,0.8110178534929653
FT_over10,0.7272378025355359,0.7272886117235754
JP_over10,0.6311947752593162,0.6288802730348304
EI_over50,0.7134076066077603,0.7081886702451486
NS_over50,0.8271225509028045,0.8084640407023297
FT_over50,0.7295428351901652,0.7295932150047846
JP_over50,0.6227429888590088,0.6210776479532774
EI_over100,0.7118709181713407,0.7072036767455099
NS_over100,0.8309642719938533,0.8081975199116008
FT_over100,0.7187860161352286,0.7186314001668256
JP_over100,0.6235113330772186,0.6213080559384411
EI_over299,0.7134076066077603,0.7066072438806806
NS_over299,0.8344218209757972,0.8115793918550597
FT_over299,0.7260852862082213,0.726111169201651
JP_over299,0.6123703419131771,0.6105420268128174
